Match,Football Travel,FodboldTravel.dk,Fodboldpakker.dk,La Travel,Olka Express
Aston Villa – Man. United,6195.0,,,,4855.0
Aston Villa – Nottingham F.,4595.0,,,,4515.0
Brentford – Leeds,5395.0,,,,4505.0
Chelsea – Bournemouth,6495.0,,,,6285.0
Chelsea – Brentford,3895.0,,,,3685.0
Chelsea – Pafos,3595.0,,,,3465.0
Crystal Palace – Man. City,5295.0,,,,5035.0
Crystal Palace – Fulham,4795.0,,,,4205.0
Everton – Arsenal,4795.0,,3278.0,,
Everton – Man. United,4495.0,,4482.0,,
Everton – Liverpool,7295.0,,6361.0,,
Everton – Man. City,5395.0,,5300.0,,
Leeds – Man. United,7495.0,,7187.0,,8545.0
Leeds – Arsenal,6195.0,,5952.0,,7605.0
Leeds – Wolverhampton,5895.0,,5380.0,,
Liverpool – Brighton,4795.0,,3975.0,,
Liverpool – Leeds,5995.0,,4905.0,,5775.0
Liverpool – Man. City,9095.0,,8585.0,,
Liverpool – West Ham,7495.0,,5942.0,,
Liverpool – Tottenham,8695.0,,8324.0,,
Liverpool – Chelsea,9395.0,,8513.0,,
Millwall – Ipswich,3995.0,,,,3935.0
QPR – Norwich,3895.0,,,,3485.0
West Ham – Brighton,4295.0,,,,4275.0
